           ####      Real Space Data                               ####

           Distance distribution  function of particle  


      R          P(R)      ERROR
  0.5797E+02  0.1885E-01  0.1192E-02
  0.5828E+02  0.1825E-01  0.1178E-02
  0.5859E+02  0.1766E-01  0.1166E-02
  0.5890E+02  0.1708E-01  0.1154E-02
  0.5921E+02  0.1652E-01  0.1143E-02
  0.5952E+02  0.1596E-01  0.1135E-02
  0.5982E+02  0.1540E-01  0.1129E-02
  0.6013E+02  0.1484E-01  0.1126E-02
  0.6044E+02  0.1429E-01  0.1126E-02
  0.6075E+02  0.1374E-01  0.1130E-02
  0.6106E+02  0.1318E-01  0.1136E-02
  0.6137E+02  0.1263E-01  0.1146E-02
  0.6167E+02  0.1207E-01  0.1159E-02
  0.6198E+02  0.1150E-01  0.1175E-02
  0.6229E+02  0.1093E-01  0.1192E-02
  0.6260E+02  0.1036E-01  0.1211E-02
  0.6291E+02  0.9782E-02  0.1230E-02
  0.6322E+02  0.9201E-02  0.1249E-02
  0.6352E+02  0.8618E-02  0.1267E-02
  0.6383E+02  0.8032E-02  0.1283E-02
  0.6414E+02  0.7447E-02  0.1296E-02
  0.6445E+02  0.6862E-02  0.1305E-02
  0.6476E+02  0.6281E-02  0.1310E-02
  0.6507E+02  0.5706E-02  0.1310E-02
  0.6537E+02  0.5138E-02  0.1303E-02
  0.6568E+02  0.4582E-02  0.1289E-02
  0.6599E+02  0.4039E-02  0.1268E-02
  0.6630E+02  0.3514E-02  0.1238E-02
  0.6661E+02  0.3009E-02  0.1199E-02
  0.6692E+02  0.2529E-02  0.1149E-02
  0.6722E+02  0.2077E-02  0.1090E-02
  0.6753E+02  0.1658E-02  0.1019E-02
  0.6784E+02  0.1275E-02  0.9370E-03
  0.6815E+02  0.9340E-03  0.8426E-03
  0.6846E+02  0.6381E-03  0.7358E-03
  0.6877E+02  0.3922E-03  0.6159E-03
  0.6907E+02  0.2009E-03  0.4827E-03
  0.6938E+02  0.6869E-04  0.3359E-03
  0.6969E+02  0.2378E-06  0.1750E-03
  0.7000E+02  0.0000E+00  0.0000E+00

